t: 0.00000e+00   Fx1: 0.00000e+00   Fy1: 0.00000e+00   Fz1: 0.00000e+00  Fx2: 0.00000e+00   Fy2: 0.00000e+00   Fz2: 0.00000e+00  Fx3: 0.00000e+00   Fy3: 0.00000e+00   Fz3: 0.00000e+00 
t: 4.90001e-07   Fx1: 1.84581e-06   Fy1: -7.68006e-07   Fz1: 2.13298e-06  Fx2: -1.40929e-08   Fy2: -7.47560e-08   Fz2: 9.06142e-07  Fx3: -1.75850e-07   Fy3: -1.24227e-07   Fz3: 1.97924e-05 
t: 5.00003e-07   Fx1: -9.76458e-09   Fy1: 1.05635e-06   Fz1: 8.11043e-05  Fx2: -7.43979e-08   Fy2: 8.62291e-08   Fz2: -1.71226e-06  Fx3: -2.06769e-07   Fy3: -1.17719e-07   Fz3: 1.99003e-05 
t: 5.10005e-07   Fx1: -1.89725e-06   Fy1: -1.69706e-06   Fz1: -5.20649e-05  Fx2: -9.95849e-09   Fy2: 2.21167e-09   Fz2: -2.21944e-06  Fx3: -1.43369e-07   Fy3: -1.02197e-07   Fz3: 2.02814e-05 
t: 5.20001e-07   Fx1: -2.33268e-07   Fy1: 3.29116e-07   Fz1: 1.19373e-04  Fx2: 1.30840e-07   Fy2: 2.25511e-08   Fz2: 1.00127e-08  Fx3: -1.23767e-07   Fy3: -7.04744e-08   Fz3: 2.03909e-05 
t: 5.30003e-07   Fx1: -2.58462e-06   Fy1: 3.39607e-06   Fz1: -1.46317e-05  Fx2: 1.04725e-07   Fy2: -3.05973e-08   Fz2: -7.63727e-07  Fx3: -2.47756e-07   Fy3: -3.62697e-08   Fz3: 2.22567e-05 
t: 5.40004e-07   Fx1: 1.09701e-06   Fy1: -2.87319e-06   Fz1: 6.41190e-05  Fx2: 9.40730e-09   Fy2: -6.08247e-08   Fz2: 8.18788e-07  Fx3: -2.68294e-07   Fy3: -3.31705e-08   Fz3: 2.09816e-05 
t: 5.50001e-07   Fx1: 3.75780e-06   Fy1: -6.19594e-07   Fz1: -1.35469e-05  Fx2: 3.36163e-08   Fy2: 8.57666e-09   Fz2: -6.38470e-07  Fx3: -3.25705e-07   Fy3: -3.85515e-08   Fz3: 2.05086e-05 
t: 5.60002e-07   Fx1: -2.98999e-06   Fy1: 3.62910e-07   Fz1: 2.08136e-06  Fx2: 6.27560e-08   Fy2: 1.03278e-08   Fz2: 8.32472e-07  Fx3: -4.84099e-07   Fy3: -1.49761e-07   Fz3: 2.06636e-05 
t: 5.70004e-07   Fx1: 2.89376e-06   Fy1: -1.08346e-06   Fz1: 4.76758e-05  Fx2: -9.40261e-09   Fy2: 5.61518e-08   Fz2: 2.73596e-07  Fx3: -6.27186e-07   Fy3: -4.79241e-07   Fz3: 2.06190e-05 
t: 5.80000e-07   Fx1: -9.79186e-07   Fy1: 3.29000e-06   Fz1: -4.30931e-05  Fx2: -6.25226e-08   Fy2: -4.84944e-09   Fz2: 4.01558e-07  Fx3: -1.10805e-07   Fy3: -2.45273e-07   Fz3: 1.99980e-05 
t: 5.90002e-07   Fx1: -1.16131e-06   Fy1: -4.66421e-07   Fz1: 9.67347e-05  Fx2: -3.23575e-09   Fy2: 1.32259e-08   Fz2: -1.14606e-07  Fx3: 2.21612e-08   Fy3: -1.31282e-07   Fz3: 1.98710e-05 
t: 6.00004e-07   Fx1: 3.98475e-08   Fy1: 5.43683e-07   Fz1: 1.95231e-05  Fx2: -5.33735e-08   Fy2: 4.01832e-08   Fz2: 2.21699e-06  Fx3: -8.78005e-08   Fy3: -2.11383e-07   Fz3: 2.15010e-05 
t: 6.10005e-07   Fx1: 1.30557e-07   Fy1: 4.23763e-07   Fz1: -6.23063e-05  Fx2: 7.29240e-08   Fy2: -3.76407e-08   Fz2: 8.75355e-07  Fx3: -1.11324e-07   Fy3: -2.99723e-07   Fz3: 2.16835e-05 
t: 6.20002e-07   Fx1: 2.05469e-06   Fy1: -5.54508e-07   Fz1: 9.64889e-05  Fx2: -7.76198e-09   Fy2: 6.25775e-08   Fz2: -2.89087e-07  Fx3: 9.16256e-09   Fy3: -4.08294e-07   Fz3: 2.11163e-05 
t: 6.30003e-07   Fx1: 3.00165e-07   Fy1: 2.83354e-06   Fz1: -3.70703e-05  Fx2: 2.97318e-08   Fy2: 4.10406e-08   Fz2: -1.71613e-06  Fx3: 7.78670e-08   Fy3: -3.68359e-07   Fz3: 2.22350e-05 
t: 6.40005e-07   Fx1: -1.88825e-06   Fy1: -3.11358e-06   Fz1: 7.92528e-05  Fx2: 7.79177e-08   Fy2: 1.57828e-09   Fz2: 9.05310e-07  Fx3: 9.04898e-08   Fy3: -3.61175e-07   Fz3: 2.09168e-05 
t: 6.50001e-07   Fx1: 1.04903e-06   Fy1: -3.42580e-07   Fz1: 3.88508e-05  Fx2: -1.17250e-08   Fy2: 4.83271e-08   Fz2: -1.07478e-06  Fx3: 5.29828e-08   Fy3: -2.74647e-07   Fz3: 2.03418e-05 
t: 6.60003e-07   Fx1: 3.64931e-07   Fy1: -3.44573e-07   Fz1: 4.81656e-06  Fx2: 7.74830e-08   Fy2: -6.72158e-08   Fz2: 2.30681e-07  Fx3: 3.09677e-08   Fy3: -3.22516e-07   Fz3: 1.90314e-05 
t: 6.70005e-07   Fx1: -9.83060e-07   Fy1: -2.37859e-06   Fz1: 3.96468e-05  Fx2: 1.52357e-08   Fy2: -2.16466e-08   Fz2: 2.79979e-07  Fx3: -5.67682e-08   Fy3: -5.06657e-07   Fz3: 1.90624e-05 
t: 6.80001e-07   Fx1: 1.38812e-06   Fy1: 1.41657e-06   Fz1: -1.27542e-05  Fx2: -5.91242e-08   Fy2: -3.41924e-08   Fz2: -1.06354e-06  Fx3: -3.93494e-08   Fy3: -3.72627e-07   Fz3: 2.00289e-05 
t: 6.90003e-07   Fx1: 1.98293e-06   Fy1: -7.10305e-07   Fz1: 9.94913e-06  Fx2: 7.63066e-08   Fy2: 9.09338e-08   Fz2: -1.21421e-06  Fx3: 4.61134e-09   Fy3: -3.25947e-07   Fz3: 2.01046e-05 
t: 7.00004e-07   Fx1: 4.18457e-07   Fy1: -9.77851e-07   Fz1: 1.52016e-05  Fx2: -1.03772e-07   Fy2: -3.22672e-08   Fz2: -4.85961e-07  Fx3: -6.22909e-08   Fy3: -1.77233e-07   Fz3: 2.10560e-05 
t: 7.10001e-07   Fx1: 3.01214e-06   Fy1: 1.05509e-06   Fz1: 1.73412e-05  Fx2: 6.32021e-08   Fy2: -1.56370e-08   Fz2: -4.31244e-07  Fx3: -2.40609e-07   Fy3: -1.92401e-07   Fz3: 2.18973e-05 
t: 7.20002e-07   Fx1: 2.52485e-07   Fy1: -1.42132e-06   Fz1: 3.76946e-05  Fx2: -4.80037e-08   Fy2: -1.94147e-08   Fz2: -1.79085e-06  Fx3: -2.83417e-07   Fy3: -2.57424e-07   Fz3: 2.20277e-05 
t: 7.30004e-07   Fx1: -9.74375e-07   Fy1: 3.11749e-07   Fz1: 2.22805e-05  Fx2: 6.04004e-09   Fy2: 7.13722e-08   Fz2: -2.25329e-06  Fx3: -1.27193e-07   Fy3: -1.57544e-07   Fz3: 2.28856e-05 
t: 7.40000e-07   Fx1: -1.16779e-06   Fy1: -7.45536e-07   Fz1: -9.59067e-05  Fx2: -4.12804e-09   Fy2: 3.84828e-08   Fz2: -2.68374e-07  Fx3: -8.98268e-08   Fy3: -3.71225e-08   Fz3: 2.26019e-05 
t: 7.50002e-07   Fx1: 2.23049e-06   Fy1: -1.19099e-07   Fz1: 3.93392e-05  Fx2: -9.05442e-09   Fy2: -1.75097e-08   Fz2: 2.95795e-07  Fx3: -1.29455e-07   Fy3: -3.96501e-08   Fz3: 2.19031e-05 
t: 7.60004e-07   Fx1: -2.07765e-06   Fy1: 5.52154e-07   Fz1: 4.58312e-05  Fx2: -1.23893e-08   Fy2: 4.65608e-09   Fz2: 3.55022e-07  Fx3: -1.65320e-07   Fy3: -9.22819e-08   Fz3: 2.20270e-05 
t: 7.70005e-07   Fx1: 2.41465e-07   Fy1: 7.83779e-07   Fz1: 4.10173e-05  Fx2: -5.57040e-08   Fy2: 3.93205e-08   Fz2: -4.61137e-07  Fx3: -2.26612e-07   Fy3: -1.09499e-07   Fz3: 2.19336e-05 
t: 7.80002e-07   Fx1: 9.42907e-08   Fy1: -1.24830e-06   Fz1: 1.93916e-05  Fx2: -3.20843e-08   Fy2: 7.02499e-08   Fz2: -6.47238e-07  Fx3: -3.11813e-07   Fy3: -1.25336e-07   Fz3: 2.11663e-05 
t: 7.90003e-07   Fx1: 4.51742e-07   Fy1: 1.19781e-06   Fz1: 1.28958e-05  Fx2: -1.51630e-08   Fy2: -4.01792e-08   Fz2: -1.81697e-06  Fx3: -3.06380e-07   Fy3: -2.87897e-07   Fz3: 2.01361e-05 
t: 8.00005e-07   Fx1: -4.91486e-07   Fy1: 1.23682e-06   Fz1: 1.35919e-05  Fx2: -1.44642e-08   Fy2: -1.31732e-09   Fz2: -7.12206e-07  Fx3: -1.75092e-07   Fy3: -3.41975e-07   Fz3: 1.97108e-05 
t: 8.10001e-07   Fx1: -1.69571e-06   Fy1: 1.66423e-06   Fz1: -2.32622e-05  Fx2: -1.67938e-08   Fy2: 6.93121e-09   Fz2: -6.97807e-07  Fx3: -5.19317e-08   Fy3: -2.54585e-07   Fz3: 2.04239e-05 
t: 8.20003e-07   Fx1: 1.13416e-06   Fy1: 6.64608e-08   Fz1: 3.81039e-05  Fx2: -4.17842e-08   Fy2: 2.43913e-08   Fz2: -1.12981e-07  Fx3: 4.28245e-08   Fy3: -2.60609e-07   Fz3: 2.16292e-05 
t: 8.30005e-07   Fx1: -3.44482e-06   Fy1: -1.87347e-06   Fz1: -4.16242e-05  Fx2: 1.61814e-08   Fy2: -2.47135e-08   Fz2: 3.64337e-07  Fx3: -2.07361e-08   Fy3: -2.76136e-07   Fz3: 2.17353e-05 
t: 8.40001e-07   Fx1: 8.98967e-07   Fy1: 1.13408e-07   Fz1: -1.80907e-05  Fx2: 2.17517e-09   Fy2: 3.22160e-08   Fz2: 1.91822e-06  Fx3: -3.38085e-08   Fy3: -2.17700e-07   Fz3: 2.13608e-05 
t: 8.50003e-07   Fx1: -1.35513e-06   Fy1: -3.84456e-06   Fz1: 1.98673e-06  Fx2: -7.57293e-09   Fy2: 2.36696e-09   Fz2: -1.05008e-06  Fx3: -4.48120e-08   Fy3: -2.63416e-07   Fz3: 2.17245e-05 
t: 8.60004e-07   Fx1: 2.32181e-06   Fy1: -2.36562e-06   Fz1: 2.86041e-05  Fx2: -2.23086e-08   Fy2: 1.91205e-08   Fz2: 1.01140e-06  Fx3: -3.20454e-08   Fy3: -1.23001e-07   Fz3: 2.18881e-05 
t: 8.70001e-07   Fx1: -1.96078e-07   Fy1: 3.58409e-06   Fz1: -1.24306e-05  Fx2: 9.35685e-08   Fy2: -3.74989e-08   Fz2: 3.65272e-08  Fx3: -5.29892e-08   Fy3: -9.19985e-08   Fz3: 2.11057e-05 
t: 8.80002e-07   Fx1: -2.30865e-06   Fy1: -3.41892e-08   Fz1: 2.59658e-05  Fx2: 2.57672e-08   Fy2: -1.07316e-07   Fz2: -9.26443e-07  Fx3: -6.19128e-08   Fy3: -1.22004e-07   Fz3: 2.12965e-05 
